Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"1,78900440586769","-0,881080760642453","-0,1165449489918",0,0,0,"199,608158242893","10,5666582157859","1,27793031995562E-10","2,82196989777788E-10","42,9924156247687","5,91605791574804E-11","52,3672725427771",0,0,0,0,0,0,package://Digital_twin_lab-3/meshes/base_link.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://Digital_twin_lab-3/meshes/base_link.STL,,Optical-platform-1;PFR90150-8-Solidworks-1;PFR90150-8-Solidworks-2;Optical-platform-2;PFR90150-8-Solidworks-3;Optical-platform-3;PFR90150-8-Solidworks-4;Optical-platform-4;SlideRail-GroundBase-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
slide-rail,"-1,43995243789554","-0,866665161394356","-0,200928921167978",0,0,0,"9,10141973800343","0,00462584403154433","-2,47766910593198E-07","2,22783567848517E-08","7,2200527077908","6,58677957713716E-06","7,22100259175683",0,0,0,0,0,0,package://Digital_twin_lab-3/meshes/slide-rail.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://Digital_twin_lab-3/meshes/slide-rail.STL,,LD6030-S3500-linerar-actuactor-1,Origin_slide-rail-j,Axis_slide-rail-j,slide-rail-j,fixed,"3,08771486040588","-0,0803389725836143","0,244946823793314",0,0,0,base_link,0,0,0,,,,,,,,,,,,
slide,"0,0726026016397733","0,00430886913851669","0,0405868162079005",0,0,0,"0,419983323514115","0,000608866562581119","2,96122492561252E-10","1,1348537052061E-09","0,000510747138587582","-1,16613327497699E-06","0,00103925065608287",0,0,0,0,0,0,package://Digital_twin_lab-3/meshes/slide.STL,1,1,1,1,0,0,0,0,0,0,package://Digital_twin_lab-3/meshes/slide.STL,,LD6030SlideStage_-1,Origin_slide-j,Axis_slide-j,slide-j,prismatic,"0,081634","-0,94164","0,033447",0,0,0,base_link,-1,0,0,0,0,"-3,5",0,,,,,,,,
arm-base,"0,00020537","-0,00024396","0,021392",0,0,0,"0,72268","0,00075751","1,7307E-06","3,1349E-07","0,0010077","-3,2751E-07","0,0017096",0,0,0,0,0,0,package://Digital_twin_lab-3/meshes/arm-base.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://Digital_twin_lab-3/meshes/arm-base.STL,,SlideRail-Robot-baseboard-1;base-1,Origin_arm-base-j,Axis_arm-base-j,arm-base-j,fixed,"0,0725270285681471","0,00413959636703953","0,0557629137973782",0,0,0,slide,0,0,0,,,,,,,,,,,,
squid,"-0,00217519723344878","-0,0152297106388054","0,107745951384963",0,0,0,"3,63619504672605","0,0528314659485866","0,000282892683176604","3,98656771778672E-06","0,0195251698514204","6,618724619776E-07","0,0673167761503225",0,0,0,0,0,0,package://Digital_twin_lab-3/meshes/squid.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Digital_twin_lab-3/meshes/squid.STL,,SquidMicroscope-Heidstar-Simplified-1,Origin_squid-j,,squid-j,fixed,"0,37264","-0,35916","0,0092903",0,0,0,base_link,0,0,0,,,,,,,,,,,,
incubator,"0,14857","0,18235","0,29938",0,0,0,"4,1514","0,041296","-2,879E-05","-2,2835E-06","0,039297","-9,7481E-05","0,017513",0,0,0,0,0,0,package://Digital_twin_lab-3/meshes/incubator.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://Digital_twin_lab-3/meshes/incubator.STL,,Wellplate Incubator-for lab assembly-1/alu profile 30x30-1;Wellplate Incubator-for lab assembly-1/alu profile 30x30-5;Wellplate Incubator-for lab assembly-1/alu profile 30x30-6;Wellplate Incubator-for lab assembly-1/alu profile 30x30-3;Wellplate Incubator-for lab assembly-1/alu profile 30x30-4;Wellplate Incubator-for lab assembly-1/alu profile 30x30-2;Wellplate Incubator-for lab assembly-1/alu profile30x30-400-1;Wellplate Incubator-for lab assembly-1/alu profile30x30-400-3;Wellplate Incubator-for lab assembly-1/alu profile30x30-400-4;Wellplate Incubator-for lab assembly-1/alu profile30x30-400-5;Wellplate Incubator-for lab assembly-1/alu profile 30x30-500-1;Wellplate Incubator-for lab assembly-1/alu profile 30x30-500-2;Wellplate Incubator-for lab assembly-1/alu profile 30x30-500-3;Wellplate Incubator-for lab assembly-1/alu profile 30x30-500-4;Wellplate Incubator-for lab assembly-1/alu profile 30x30-500-5;Wellplate Incubator-for lab assembly-1/alu profile 30x30-500-8;Wellplate Incubator-for lab assembly-1/alu profile 30x30-7;Wellplate Incubator-for lab assembly-1/hotel-core-unit-v2-1;Wellplate Incubator-for lab assembly-1/hotel-core-unit-v2-2;Wellplate Incubator-for lab assembly-1/3060AluminumProfile-1;Wellplate Incubator-for lab assembly-1/hotel-core-unit-v2-3;Wellplate Incubator-for lab assembly-1/hotel-core-unit-v2-4;Wellplate Incubator-for lab assembly-1/hotel-core-unit-v2-5;Wellplate Incubator-for lab assembly-1/hotel-core-unit-v2-6;Wellplate Incubator-for lab assembly-1/hotel-core-unit-v2-7;Wellplate Incubator-for lab assembly-1/hotel-core-unit-v2-8;Wellplate Incubator-for lab assembly-1/hotel-core-unit-v2-9;Wellplate Incubator-for lab assembly-1/hotel-core-unit-v2-10;Wellplate Incubator-for lab assembly-1/hotel-core-unit-v2-11;Wellplate Incubator-for lab assembly-1/hotel-core-unit-v2-12;Wellplate Incubator-for lab assembly-1/3060AluminumProfile-2;Wellplate Incubator-for lab assembly-1/hotel-core-unit-v2-13;Wellplate Incubator-for lab assembly-1/hotel-core-unit-v2-14;Wellplate Incubator-for lab assembly-1/hotel-core-unit-v2-15;Wellplate Incubator-for lab assembly-1/hotel-core-unit-v2-16;Wellplate Incubator-for lab assembly-1/hotel-core-unit-v2-17;Wellplate Incubator-for lab assembly-1/hotel-core-unit-v2-18;Wellplate Incubator-for lab assembly-1/hotel-core-unit-v2-19;Wellplate Incubator-for lab assembly-1/hotel-core-unit-v2-20;Wellplate Incubator-for lab assembly-1/hotel-core-unit-v2-21;Wellplate Incubator-for lab assembly-1/hotel-core-unit-v2-22,Origin_incubator-j,,incubator-j,fixed,"0,72099","-0,51752","0,016115",0,0,0,base_link,0,0,0,,,,,,,,,,,,
1,"4,59589526852766E-05","7,05328323838961E-05","0,00753805993131679",0,0,0,"0,0868244944825263","0,000126271352614738","2,40742980191021E-07","-8,29625367426574E-09","5,64144498466679E-05","-1,27388068981687E-08","0,000180549328693109",0,0,0,0,0,0,package://Digital_twin_lab-3/meshes/1.STL,1,1,1,1,0,0,0,0,0,0,package://Digital_twin_lab-3/meshes/1.STL,,96wellplate-23,Origin_1j,,1j,fixed,"0,33093","-0,46212","0,30199",0,0,0,base_link,0,0,0,,,,,,,,,,,,
2,"4,59589526853321E-05","7,0532832383785E-05","0,00753805993131677",0,0,0,"0,0868244944825264","0,000126271352614737","2,40742980190993E-07","-8,29625367428775E-09","5,64144498466676E-05","-1,2738806898164E-08","0,000180549328693109",0,0,0,0,0,0,package://Digital_twin_lab-3/meshes/2.STL,1,1,1,1,0,0,0,0,0,0,package://Digital_twin_lab-3/meshes/2.STL,,96wellplate-20,Origin_2j,,2j,fixed,"0,81307","-0,37503","0,10027",0,0,0,base_link,0,0,0,,,,,,,,,,,,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://Digital_twin_lab-3/meshes/3.STL,1,1,1,1,0,0,0,0,0,0,package://Digital_twin_lab-3/meshes/3.STL,,96wellplate-19,Origin_3j,Axis_3j,3j,fixed,"0,922439977066649","-0,375034358450601","0,100266923263157",0,0,0,base_link,0,0,0,,,,,,,,,,,,
