Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.653049682164994,0.306864386533706,0.21880478316424,0,0,0,462.943637851792,36.0265418542219,0.00282870253677005,4.69490018169022E-10,76.7256657120751,-0.0348331755633974,67.5997793901125,0,0,0,0,0,0,package://digital-twin-lab-v4-no-arm/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://digital-twin-lab-v4-no-arm/meshes/base_link.STL,,Optical-platform-1;Optical-platform-2;Optical-platform-3;Optical-platform-4;PFR90150-8-Solidworks-1;PFR90150-8-Solidworks-2;PFR90150-8-Solidworks-3;PFR90150-8-Solidworks-4;SlideRail-GroundBase-1;LD6030-S3500-linerar-actuactor-1;SquidMicroscope-Heidstar-Simplified-3;SquidMicroscope-Heidstar-Simplified-4;SquidMicroscope-Heidstar-Simplified-9;SquidMicroscope-Heidstar-Simplified-7;SquidMicroscope-Heidstar-Simplified-10;SquidMicroscope-Heidstar-Simplified-11;SquidMicroscope-Heidstar-Simplified-12;SquidMicroscope-Heidstar-Simplified-13;SquidMicroscope-Heidstar-Simplified-15;SquidMicroscope-Heidstar-Simplified-16;cytomat-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
slide,-0.072685,0.012592,0.026461,0,0,0,1.1427,0.0013664,1.731E-06,-3.1462E-07,0.0015184,1.4936E-06,0.0027488,0,0,0,0,0,0,package://digital-twin-lab-v4-no-arm/meshes/slide.STL,1,1,1,1,0,0,0,0,0,0,package://digital-twin-lab-v4-no-arm/meshes/slide.STL,,LD6030SlideStage_-1;SlideRail-Robot-baseboard-1;base-1,Origin_slide-j,Axis_slide-j,slide-j,prismatic,-1.5388,0.037454,0.0707,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
plate-incubator,-4.5959E-05,-7.0533E-05,0.0075381,0,0,0,0.086824,0.00012627,2.4074E-07,8.2963E-09,5.6414E-05,1.2739E-08,0.00018055,0,0,0,0,0,0,package://digital-twin-lab-v4-no-arm/meshes/plate-incubator.STL,1,1,1,1,0,0,0,0,0,0,package://digital-twin-lab-v4-no-arm/meshes/plate-incubator.STL,,96wellplate-2,Origin_plate-incubator-j,,plate-incubator-j,fixed,1.4197,0.33999,0.26826,0,0,0,base_link,0,0,0,,,,,,,,,,,,
plate-microscope,4.5959E-05,7.0533E-05,0.0075381,0,0,0,0.086824,0.00012627,2.4074E-07,-8.2963E-09,5.6414E-05,-1.2739E-08,0.00018055,0,0,0,0,0,0,package://digital-twin-lab-v4-no-arm/meshes/plate-microscope.STL,1,1,1,1,0,0,0,0,0,0,package://digital-twin-lab-v4-no-arm/meshes/plate-microscope.STL,,96wellplate-1,Origin_plate-microscope-j,,plate-microscope-j,fixed,0.89452,0.40325,0.2996,0,0,0,base_link,0,0,0,,,,,,,,,,,,
